Invoice number;Client name;Client email id;Project name;Amount to be charged
ERP1234;John;john@gmail.com;Ericcon;1200
ERP1234;Samuel;samuel@gmail.com;Windows;1400
ERP1234;Patrick;patrick@gmail.com;Robotics edge;1600
ERP1234;Roger;roger@gmail.com;Travels;1300
ERP1234;Tom;tom@gmail.com;Sea craft;1800
ERP1234;Colin;colin@gmail.com;Live farm;1900
ERP1234;Fletcher;fletcher@gmail.com;studio;1100
ERP1234;Sam;sam@gmail.com;walk in woods;1400
ERP1234;Vineal;vineal@gmail.com;star tech;1300
ERP1234;Mathews;mathews@gmail.com;Auto engine;2000
